MAKE,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL CONSUMPTION,COEMISSIONS 
ACURA,1.6,4,A4,10.5,216
ACURA,1.6,4,M5,9.8,205
ACURA,3.2,6,AS5,13.7,265
ACURA,3.5,6,A4,15,301
ACURA,1.8,4,A4,11.4,230
ACURA,1.8,4,M5,10.6,219
ACURA,1.8,4,M5,10.8,223
ACURA,3,6,AS4,15.2,306
ACURA,3.2,6,M6,15.4,306
AUDI,1.8,4,A5,12.9,251
AUDI,1.8,4,M5,11.1,223
AUDI,2.8,6,A5,14.6,285
AUDI,2.8,6,M5,13.2,260
AUDI,1.8,4,A5,13.6,267
AUDI,1.8,4,M5,12.1,246
AUDI,2.8,6,A5,14.9,292
AUDI,2.8,6,M5,14.3,288
AUDI,2.8,6,A5,15,294
AUDI,2.8,6,A5,15.4,306
AUDI,2.7,6,A5,15.2,304
AUDI,2.7,6,M6,15.2,304
AUDI,2.8,6,A5,15.4,306
AUDI,2.8,6,M5,14.6,297
AUDI,4.2,8,A5,15.5,308
AUDI,4.2,8,A5,15.5,308
AUDI,2.7,6,A5,15.2,304
AUDI,2.7,6,M6,15.2,304
AUDI,1.8,4,M5,13.1,260
AUDI,1.8,4,M6,13.1,260
AUDI,1.8,4,M5,12.3,246
AUDI,1.8,4,M6,13.1,260
BMW,2.5,6,A5,14.6,292
BMW,2.5,6,M5,13.9,281
BMW,2.5,6,A5,13.8,271
BMW,2.5,6,M5,13,258
BMW,2.5,6,A5,13.8,271
BMW,2.5,6,M5,13,258
BMW,2.8,6,A5,13.9,274
BMW,2.8,6,M5,13,258
BMW,2.8,6,A5,13.9,274
BMW,2.8,6,M5,13,258
BMW,2.8,6,A4,14.6,288
BMW,2.8,6,M5,13,258
BMW,2.8,6,A4,14.6,288
BMW,2.8,6,M5,14.5,285
BMW,4.4,8,A5,14.7,294
BMW,4.4,8,M6,16.4,317
BMW,4.4,8,A5,15.5,320
BMW,4.4,8,A5,15.4,308
BMW,4.4,8,A5,15.4,308
