MAKE,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL CONSUMPTION,COEMISSIONS
ACURA,1.6,4,A4,10.5,216.0
ACURA,1.6,4,M5,9.8,205.0
ACURA,3.2,6,AS5,13.7,265.0
ACURA,3.5,6,A4,15.0,301.0
ACURA,1.8,4,A4,11.4,230.0
ACURA,1.8,4,M5,10.6,219.0
ACURA,1.8,4,M5,10.8,223.0
ACURA,3.0,6,AS4,15.2,306.0
ACURA,3.2,6,M6,15.4,306.0
AUDI,1.8,4,A5,12.9,251.0
AUDI,1.8,4,M5,11.1,223.0
AUDI,2.8,6,A5,14.6,285.0
AUDI,2.8,6,M5,13.2,260.0
AUDI,1.8,4,A5,13.6,267.0
AUDI,1.8,4,M5,12.1,246.0
AUDI,2.8,6,A5,14.9,292.0
AUDI,2.8,6,M5,14.3,288.0
AUDI,2.8,6,A5,15.0,294.0
AUDI,2.8,6,A5,15.4,306.0
AUDI,2.7,6,A5,15.2,304.0
AUDI,2.7,6,M6,15.2,304.0
AUDI,2.8,6,M5,14.6,297.0
AUDI,4.2,8,A5,15.5,308.0
AUDI,1.8,4,M5,13.1,260.0
AUDI,1.8,4,M6,13.1,260.0
AUDI,1.8,4,M5,12.3,246.0
BMW,2.5,6,A5,14.6,292.0
BMW,2.5,6,M5,13.9,281.0
BMW,2.5,6,A5,13.8,271.0
BMW,2.5,6,M5,13.0,258.0
BMW,2.8,6,A5,13.9,274.0
BMW,2.8,6,M5,13.0,258.0
BMW,2.8,6,A4,14.6,288.0
BMW,2.8,6,M5,14.5,285.0
BMW,4.4,8,A5,14.7,294.0
BMW,4.4,8,M6,16.4,317.0
BMW,4.4,8,A5,15.5,320.0
BMW,4.4,8,A5,15.4,308.0
BMW,5.4,12,A5,19.1,373.0
BMW,3.2,6,M5,13.9,281.0
BMW,4.9,8,M6,19.6,375.0
BMW,4.4,8,A5,14.9,294.0
BMW,2.5,6,A4,14.0,278.0
BMW,2.5,6,M5,13.4,267.0
BMW,2.8,6,A4,13.9,278.0
BMW,2.8,6,M5,13.9,278.0
BMW,4.9,8,M6,19.3,380.0
BUICK,3.1,6,A4,13.1,255.0
BUICK,3.8,6,A4,13.8,265.0
BUICK,3.8,6,A4,14.4,276.0
BUICK,3.8,6,A4,15.1,290.0
BUICK,3.8,6,A4,13.5,262.0
CADILLAC,3.0,6,A4,14.7,294.0
CADILLAC,4.6,8,A4,15.5,297.0
CADILLAC,5.7,8,A4,21.2,430.0
CHEVROLET,4.3,6,A4,17.0,350.0
CHEVROLET,4.3,6,A4,17.4,359.0
CHEVROLET,4.3,6,A4,16.2,336.0
CHEVROLET,4.3,6,A4,17.7,368.0
CHEVROLET,4.3,6,M5,16.3,327.0
CHEVROLET,4.3,6,A4,16.9,350.0
CHEVROLET,4.3,6,M5,18.7,386.0
CHEVROLET,4.3,6,M5,18.5,384.0
CHEVROLET,4.8,8,A4,16.3,334.0
CHEVROLET,4.8,8,M5,18.9,373.0
CHEVROLET,5.3,8,A4,16.7,343.0
CHEVROLET,5.3,8,A4,17.9,373.0
CHEVROLET,6.0,8,A4,21.4,435.0
CHEVROLET,3.8,6,A4,13.9,269.0
CHEVROLET,3.8,6,M5,13.7,262.0
CHEVROLET,5.7,8,A4,15.4,306.0
CHEVROLET,5.7,8,M6,14.7,285.0
CHEVROLET,2.2,4,A4,11.6,232.0
CHEVROLET,2.2,4,M5,12.2,235.0
CHEVROLET,2.4,4,A4,12.5,248.0
CHEVROLET,2.4,4,M5,12.1,235.0
CHEVROLET,2.2,4,A3,11.8,242.0
CHEVROLET,5.7,8,A4,15.5,308.0
CHEVROLET,5.7,8,M6,14.4,278.0
CHEVROLET,4.3,6,A4,17.8,368.0
CHEVROLET,5.0,8,A4,18.2,373.0
CHEVROLET,5.7,8,A4,19.3,398.0
CHEVROLET,4.3,6,A4,18.3,380.0
CHEVROLET,5.0,8,A4,18.5,384.0
CHEVROLET,5.7,8,A4,20.6,426.0
CHEVROLET,3.4,6,A4,13.6,260.0
CHEVROLET,3.8,6,A4,13.5,262.0
CHEVROLET,4.8,8,A4,17.3,366.0
CHEVROLET,4.8,8,M5,20.1,405.0
CHEVROLET,5.3,8,A4,18.0,377.0
CHEVROLET,5.7,8,A4,21.1,430.0
CHEVROLET,3.1,6,A4,13.1,255.0
CHEVROLET,1.0,3,M5,7.1,147.0
CHEVROLET,1.3,4,A3,9.1,191.0
CHEVROLET,1.3,4,M5,7.6,156.0
CHEVROLET,5.3,8,A4,18.9,391.0
CHEVROLET,4.8,8,A4,18.7,391.0
CHEVROLET,2.2,4,A4,13.8,278.0
CHEVROLET,2.2,4,M5,12.2,246.0
CHEVROLET,4.3,6,A4,15.4,313.0
CHEVROLET,4.3,6,M5,16.1,322.0
CHEVROLET,4.3,6,A4,16.8,345.0
CHEVROLET,4.3,6,M5,16.3,329.0
CHEVROLET,2.0,4,A4,11.7,251.0
CHEVROLET,2.0,4,M5,11.9,255.0
CHEVROLET,1.6,4,M5,10.5,228.0
CHEVROLET,3.4,6,A4,14.0,281.0
